model,group,auc,eer,tarAtFar001,pairs
insightface-buffalo-s,A_F,0.938585,0.127806,0.545482,115455
insightface-buffalo-s,A_M,0.950245,0.109933,0.674761,115542
insightface-buffalo-s,B_F,0.974925,0.071544,0.727461,115364
insightface-buffalo-s,B_M,0.966690,0.085823,0.749720,115459
insightface-buffalo-s,I_F,0.963135,0.091759,0.694008,115595
insightface-buffalo-s,I_M,0.968310,0.080610,0.788260,115458
insightface-buffalo-s,W_F,0.979789,0.062187,0.775113,115536
insightface-buffalo-s,W_M,0.982445,0.051692,0.869257,115489
insightface-buffalo-l,A_F,0.948499,0.106261,0.764941,115455
insightface-buffalo-l,A_M,0.956302,0.092744,0.817717,115542
insightface-buffalo-l,B_F,0.980103,0.055515,0.880058,115364
insightface-buffalo-l,B_M,0.965965,0.080973,0.853157,115459
insightface-buffalo-l,I_F,0.969562,0.073151,0.854395,115595
insightface-buffalo-l,I_M,0.971564,0.070875,0.867320,115458
insightface-buffalo-l,W_F,0.986409,0.042035,0.914954,115536
insightface-buffalo-l,W_M,0.986052,0.039414,0.937715,115489
insightface-buffalo-m,A_F,0.948499,0.106261,0.764941,115455
insightface-buffalo-m,A_M,0.956302,0.092744,0.817717,115542
insightface-buffalo-m,B_F,0.980103,0.055515,0.880058,115364
insightface-buffalo-m,B_M,0.965965,0.080973,0.853157,115459
insightface-buffalo-m,I_F,0.969562,0.073151,0.854395,115595
insightface-buffalo-m,I_M,0.971564,0.070875,0.867320,115458
insightface-buffalo-m,W_F,0.986409,0.042035,0.914954,115536
insightface-buffalo-m,W_M,0.986052,0.039414,0.937715,115489
vladmandic-human,A_F,0.894616,0.192678,0.119830,111720
vladmandic-human,A_M,0.913846,0.165863,0.229040,107251
vladmandic-human,B_F,0.923352,0.158288,0.232643,110773
vladmandic-human,B_M,0.927625,0.147826,0.246219,101810
vladmandic-human,I_F,0.915466,0.166667,0.204847,111546
vladmandic-human,I_M,0.937328,0.132898,0.360028,104907
vladmandic-human,W_F,0.932888,0.140884,0.299464,111072
vladmandic-human,W_M,0.949108,0.116105,0.399402,106120
dlib,A_F,0.946767,0.135180,0.250968,95614
dlib,A_M,0.962227,0.107681,0.420999,89657
dlib,B_F,0.986007,0.060422,0.605573,96173
dlib,B_M,0.968997,0.096501,0.397981,78169
dlib,I_F,0.970758,0.096366,0.480153,101021
dlib,I_M,0.984442,0.062838,0.660198,89575
dlib,W_F,0.992637,0.041670,0.747522,97664
dlib,W_M,0.994809,0.033260,0.836615,86594
