result,time
1,5.333
1,2.839
1,5.911
1,2.141
1,1.86
1,2.199
1,1.884
1,1.819
1,1.913
1,2.324
1,1.883
1,1.914
1,2.012
1,1.902
1,1.899
1,2.287
1,1.981
1,1.932
1,1.929
1,1.998
1,1.935
1,2.071
1,1.926
1,1.962
1,2.209
1,2.04
1,2.096
1,2.18
0,1.664
1,1.985
1,1.909
1,1.951
1,3.764
1,2.197
1,2.017
1,2.045
1,2.26
1,2.056
1,2.162
1,2.106
1,2.049
1,2.043
1,1.926
1,1.816
1,1.894
1,1.867
1,1.944
1,2.025
1,2.021
1,1.906
1,1.873
1,1.897
1,1.846
1,2.166
1,1.856
1,1.874
1,1.929
1,1.871
1,1.888
1,1.924
1,1.937
1,2.47
0,1.719
1,2.081
1,2.334
1,2.116
1,2.194
1,2.062
1,2.148
1,2.069
1,2.007
1,1.929
0,3.939
0,2.21
1,2.077
1,2.002
1,2.09
1,2.029
1,2.094
0,1.638
1,2.238
1,2.072
1,2.043
1,2.01
1,2.033
1,2.036
1,1.986
1,1.855
1,1.803
1,1.837
1,1.921
1,1.947
1,1.799
1,1.771
1,1.745
1,1.874
1,1.813
1,1.786
1,1.798
1,1.834
1,2.238
1,1.82
1,1.807
1,1.763
1,1.769
1,1.801
1,1.773
1,1.791
1,1.812
1,1.939
1,1.981
1,2.051
0,1.77
0,1.435
1,1.963
1,2.279
1,2.063
1,2.022
1,1.915
1,20.215
1,4.816
1,3.106
1,2.013
1,2.044
1,2.029
1,1.967
1,2.074
1,2.021
1,2.042
1,1.985
1,2.047
1,2.034
1,2.059
1,2.047
1,1.984
1,1.808
1,1.801
1,1.77
1,2.02
1,1.92
1,1.814
1,1.837
1,1.792
1,1.852
1,1.811
1,1.799
1,1.805
1,1.856
1,1.802
1,1.813
1,1.773
1,1.767
1,1.812
1,1.77
1,1.741
1,1.822
1,1.795
1,1.878
1,1.925
1,2.114
1,1.915
1,2.065
1,2.174
1,1.969
1,2.339
1,1.927
1,2.101
1,3.623
1,2.177
1,2.011
1,2.015
1,2.038
0,1.615
1,2.054
1,2.004
1,2.054
1,2.097
1,2.016
1,2.004
1,2.026
1,2.041
1,1.965
1,1.869
1,1.859
1,1.794
1,1.827
1,1.8
1,1.783
1,1.813
1,1.777
1,1.771
1,1.831
1,1.771
0,1.38
1,1.818
1,1.842
1,1.807
1,1.799
1,1.805
1,1.798
1,1.785
1,1.812
1,1.796
1,1.799
1,1.975
1,1.887
1,2.118
1,2.164
1,1.869
1,2.035
1,2.112
1,2.188
1,2.104
1,1.992
1,5.423
1,4.486
1,2.302
1,2.19
1,2.074
1,2.096
1,2.155
1,2.231
1,2.166
1,2.404
1,2.168
1,2.289
1,2.095
1,2.115
1,1.925
1,1.957
1,1.959
1,1.919
1,2.122
1,1.867
1,2.157
1,2.021
1,1.936
1,1.887
1,1.88
1,1.857
1,1.887
1,1.958
1,1.897
1,1.868
1,1.899
1,1.901
1,2.181
1,1.916
1,1.864
1,2.064
1,2.014
1,2.203
1,1.948
1,2.197
1,1.947
1,2.39
1,2.426
1,2.132
1,2.816
1,4.674
1,2.141
1,6.803
1,2.059
1,2.074
1,2.044
1,2.116
1,2.095
1,2.322
1,2.076
1,2.296
1,2.563
1,2.121
1,2.237
1,2.088
1,2.19
1,1.927
1,2.251
1,1.863
1,1.834
0,1.412
1,1.978
0,1.416
1,1.9
1,2.116
1,1.975
1,1.912
1,1.884
1,1.928
1,1.915
1,1.945
1,1.9
1,2.104
1,1.997
1,1.925
1,2.447
1,2.088
1,3.578
1,2.546
1,2.211
1,2.033
1,2.203
1,2.052
1,2.244
1,2.297
1,2.241
1,2.33
1,2.203
1,2.037
1,2.128
1,2.216
1,2.081
1,1.944
1,1.954
1,1.917
1,1.941
1,1.856
1,1.838
1,1.924
1,2.188
1,2.071
1,1.792
1,1.98
1,1.985
1,2.189
1,1.85
1,2.233
1,2.004
1,2.145
1,1.944
1,2.313
1,2.089
1,2.595
1,2.063
1,2.276
1,2.064
1,2.297
1,2.251
1,2.151
1,2.283
1,3.646
1,3.723
1,2.34
1,2.212
1,2.24
1,2.127
1,2.459
1,2.181
1,2.223
1,2.001
1,2.042
