sentTime,receivedTime,diffSeconds
2023-01-15T02:09:49.613Z,2023-01-15T02:09:54.124Z,4.511
2023-01-15T02:09:53.453Z,2023-01-15T02:09:57.504Z,4.051
2023-01-15T02:09:56.552Z,2023-01-15T02:09:59.176Z,2.624
2023-01-15T02:09:59.543Z,2023-01-15T02:10:02.431Z,2.888
2023-01-15T02:10:02.578Z,2023-01-15T02:10:05.570Z,2.992
2023-01-15T02:10:05.023Z,2023-01-15T02:10:07.621Z,2.598
2023-01-15T02:10:07.810Z,2023-01-15T02:10:10.237Z,2.427
2023-01-15T02:10:11.075Z,2023-01-15T02:10:14.164Z,3.089
2023-01-15T02:10:13.412Z,2023-01-15T02:10:15.372Z,1.96
2023-01-15T02:10:15.866Z,2023-01-15T02:10:17.992Z,2.126
2023-01-15T02:10:18.620Z,2023-01-15T02:10:21.055Z,2.435
2023-01-15T02:10:21.687Z,2023-01-15T02:10:24.135Z,2.448
2023-01-15T02:10:24.973Z,2023-01-15T02:10:27.432Z,2.459
2023-01-15T02:10:27.873Z,2023-01-15T02:10:30.301Z,2.428
2023-01-15T02:10:31.199Z,2023-01-15T02:10:33.570Z,2.371
2023-01-15T02:10:33.743Z,2023-01-15T02:10:36.229Z,2.486
2023-01-15T02:10:36.862Z,2023-01-15T02:10:39.375Z,2.513
2023-01-15T02:10:39.710Z,2023-01-15T02:10:42.271Z,2.561
2023-01-15T02:10:42.813Z,2023-01-15T02:10:45.307Z,2.494
2023-01-15T02:10:45.828Z,2023-01-15T02:10:48.480Z,2.652
2023-01-15T02:10:48.698Z,2023-01-15T02:10:51.128Z,2.43
2023-01-15T02:10:51.515Z,2023-01-15T02:10:53.976Z,2.461
2023-01-15T02:10:54.582Z,2023-01-15T02:10:57.274Z,2.692
2023-01-15T02:10:57.986Z,2023-01-15T02:11:00.543Z,2.557
2023-01-15T02:11:01.076Z,2023-01-15T02:11:03.419Z,2.343
2023-01-15T02:11:03.995Z,2023-01-15T02:11:06.359Z,2.364
2023-01-15T02:11:06.326Z,2023-01-15T02:11:08.944Z,2.618
2023-01-15T02:11:08.865Z,2023-01-15T02:11:11.459Z,2.594
2023-01-15T02:11:11.684Z,2023-01-15T02:11:14.054Z,2.37
2023-01-15T02:11:14.974Z,2023-01-15T02:11:17.318Z,2.344
2023-01-15T02:11:17.806Z,2023-01-15T02:11:20.135Z,2.329
2023-01-15T02:11:20.199Z,2023-01-15T02:11:22.519Z,2.32
2023-01-15T02:11:23.440Z,2023-01-15T02:11:25.834Z,2.394
2023-01-15T02:11:26.069Z,2023-01-15T02:11:28.398Z,2.329
2023-01-15T02:11:28.883Z,2023-01-15T02:11:31.206Z,2.323
2023-01-15T02:11:31.482Z,2023-01-15T02:11:33.863Z,2.381
2023-01-15T02:11:33.821Z,2023-01-15T02:11:37.905Z,4.084
2023-01-15T02:11:36.709Z,2023-01-15T02:11:38.690Z,1.981
2023-01-15T02:11:39.983Z,2023-01-15T02:11:42.267Z,2.284
2023-01-15T02:11:42.712Z,2023-01-15T02:11:44.922Z,2.21
2023-01-15T02:11:45.738Z,2023-01-15T02:11:48.085Z,2.347
2023-01-15T02:11:48.553Z,2023-01-15T02:11:50.882Z,2.329
2023-01-15T02:11:51.420Z,2023-01-15T02:11:53.788Z,2.368
2023-01-15T02:11:54.083Z,2023-01-15T02:11:56.376Z,2.293
2023-01-15T02:11:56.425Z,2023-01-15T02:11:58.777Z,2.352
2023-01-15T02:11:59.013Z,2023-01-15T02:12:01.477Z,2.464
2023-01-15T02:12:02.386Z,2023-01-15T02:12:04.728Z,2.342
2023-01-15T02:12:04.831Z,2023-01-15T02:12:07.279Z,2.448
2023-01-15T02:12:07.436Z,2023-01-15T02:12:09.792Z,2.356
2023-01-15T02:12:10.666Z,2023-01-15T02:12:13.009Z,2.343
2023-01-15T02:12:13.286Z,2023-01-15T02:12:15.780Z,2.494
