similarity,label
0.39737305,1
0.26732796,1
0.24842100,1
0.01874788,1
0.06114449,1
0.14759590,1
0.11060108,1
0.52121043,1
0.17411460,1
0.52567422,1
0.17972920,1
0.54873250,1
0.05966167,1
-0.06306800,1
-0.00614075,1
0.21886238,1
0.24724278,1
0.06177711,1
-0.00838606,1
0.09437950,1
0.03360702,1
0.06354512,1
0.07423508,1
-0.00510947,1
0.08513086,1
0.11467684,1
0.22006020,1
0.19039727,1
0.41538363,1
0.26434065,1
0.20603285,1
0.18033317,1
0.13795324,1
0.12125827,1
0.05715999,1
0.39590961,1
0.42954396,1
0.42431634,1
0.52467346,1
0.24996091,1
0.39033783,1
0.11937895,1
0.36739092,1
0.11078639,1
0.03023883,1
0.04750253,1
0.34627385,1
-0.06999622,1
0.13507932,1
0.17315305,1
-0.04978620,1
0.16030671,1
-0.08094526,1
0.13293380,1
-0.01343103,1
0.01412146,1
-0.02666811,1
0.01571055,1
0.04460733,1
0.13092996,1
0.41744122,1
0.22250549,1
0.47342606,1
0.22984718,1
0.07368614,1
-0.03235969,1
0.42253445,1
0.22238286,1
-0.00919924,1
0.05639628,1
0.16152237,1
0.08606780,1
0.16033928,1
0.14833638,1
0.13067748,1
0.12616963,1
0.34535376,1
0.23988989,1
0.15264206,1
0.34076478,1
0.17950314,1
0.09855610,1
0.05673302,1
0.04866497,1
0.03406489,1
0.09627762,1
0.17898312,1
0.07176345,1
0.29766681,1
0.40051719,1
0.37875507,1
0.08299080,1
0.20212185,1
0.35852033,1
0.10787595,1
0.24211591,1
0.03081726,1
0.09856539,1
0.10097132,1
0.46942806,1
0.45369626,1
-0.06834724,1
0.07332971,1
0.07883180,1
-0.00337553,1
0.09436964,1
0.04370240,1
0.40519584,1
0.38181166,1
-0.01146481,1
-0.01028445,1
0.23364955,1
-0.00145412,1
0.05579910,1
0.12986855,1
0.17146609,1
0.08983595,1
0.52192661,1
0.05977685,1
0.09273088,1
0.00367264,1
0.20495754,1
0.21662937,1
0.07967893,1
0.25173804,1
0.11773496,1
0.13524358,1
0.08362035,1
0.15297623,1
0.06290144,1
0.48815660,1
0.47925533,1
0.31153873,1
0.41040229,1
0.19889530,1
0.46810942,1
0.20153878,1
0.14957538,1
-0.03908023,1
0.06246000,1
0.33814486,1
0.33819177,1
0.05631970,1
0.14362603,1
-0.01216309,1
0.21253756,1
0.03250767,1
0.10236095,1
0.10020930,1
0.19180058,1
0.22199469,1
0.21256490,1
0.03497034,1
0.09991249,1
0.14919882,1
0.09159829,1
0.10028421,1
0.22999620,1
0.19609820,1
0.13181718,1
0.13437344,1
0.31514854,1
0.28183290,1
0.38172284,1
0.12483461,1
-0.03098307,1
-0.03345273,1
-0.01758907,1
-0.08302961,1
-0.02003409,1
0.08168436,1
-0.04298650,1
0.02392033,1
0.10100802,1
0.19712940,1
0.05257416,1
0.13435887,1
0.06958843,1
0.17972270,1
0.12799612,1
0.12484636,1
0.37220275,1
0.04445833,1
0.46109445,1
0.39198811,1
0.37477068,1
0.05094467,1
0.15387879,1
0.12569561,1
0.07894515,1
0.12014923,1
0.05431758,1
0.09343216,1
0.10466174,1
-0.01856531,1
-0.03549653,1
-0.00000787,1
0.09108069,1
0.04684372,1
0.02158026,1
0.07432624,1
0.02637846,1
0.11557764,1
0.07965338,1
0.34982370,1
0.15582283,1
0.36070126,1
0.21032458,1
0.41519521,1
0.37394539,1
0.18697117,1
0.08195038,1
0.08186572,1
0.00504812,1
0.16820374,1
0.31638640,1
0.18369641,1
0.17289276,1
0.11341686,1
0.39297480,1
0.70278256,1
0.71539926,1
0.08046046,1
0.12665479,1
0.11434021,1
0.13339219,1
0.23577592,1
0.28241756,1
0.21304688,1
0.10166964,1
0.11880670,1
0.07525788,1
0.00560679,1
0.15829173,1
0.15090926,1
0.27769616,1
0.36104074,1
0.21600904,1
0.05745798,1
0.20480513,1
0.14975503,1
0.40939332,1
0.06629691,1
0.14047519,1
0.07502446,1
0.06518899,1
0.09443009,1
0.05568098,1
0.13310262,1
0.21863617,1
0.20009275,1
0.20570936,1
0.05685655,1
0.49590102,1
0.09220887,1
0.54062637,1
0.13077915,1
0.19319672,1
0.20054818,1
0.10837424,1
0.08729975,1
0.10962691,1
0.08285569,1
0.14969160,1
0.05868571,1
0.01387336,1
0.21858125,1
0.28223037,1
0.22014640,1
-0.01056120,1
0.41236334,1
0.16691545,1
0.55065703,1
0.53664130,1
-0.00242391,1
0.17855015,1
0.12095506,1
0.02276848,1
0.19773097,1
0.20840564,1
0.32860142,1
0.35402134,1
0.15966968,1
0.12609873,1
0.07994472,1
0.14443399,1
0.13221824,1
0.36051398,1
0.32349011,1
0.15695167,1
0.08776523,1
0.08459767,1
0.17445407,1
0.13389852,1
0.14304554,1
0.05677904,1
0.13269219,1
0.16522172,1
0.07950634,1
0.82923265,1
0.54599494,1
0.42855100,1
0.34988832,1
0.36868109,1
0.37494051,1
0.32589510,1
0.34396651,1
0.23622463,1
0.27658704,1
0.30046978,1
0.42266691,1
0.32309600,1
0.33709097,1
0.21898847,1
0.43997393,1
0.53674645,1
0.32308450,1
0.44608078,1
0.40797543,1
0.28054065,1
0.34097791,1
0.25085626,1
0.23165138,1
0.29193999,1
0.19753632,1
0.13733600,1
0.20055650,1
0.30931487,1
0.26217509,1
0.31347852,1
0.24867206,1
0.16349178,1
0.37936921,1
0.09545898,1
0.22806657,1
0.28341883,1
0.39782742,1
0.29243078,1
0.55967105,1
0.53619478,1
0.50566937,1
0.39964459,1
0.38810948,1
0.33747739,1
0.37673682,1
0.35923362,1
0.24483025,1
0.27010407,1
0.29199103,1
0.37781365,1
0.45917724,1
0.38742536,1
0.30334253,1
0.42485490,1
0.15728374,1
0.40864825,1
0.32201894,1
0.53204429,1
0.49596901,1
0.37095736,1
0.59218286,1
0.29640572,1
0.22707404,1
0.28827761,1
0.25859200,1
0.33503489,1
0.21210574,1
0.16348522,1
0.31933010,1
0.38823131,1
0.43061115,1
0.27881598,1
0.24701716,1
0.50138912,1
0.13436286,1
0.37079234,1
0.23499140,1
0.35200727,1
0.41088669,1
0.51975889,1
0.38652443,1
0.41087400,1
0.52413191,1
0.35836754,1
0.32433608,1
0.24932473,1
0.34614639,1
0.24639068,1
0.32623367,1
0.25205858,1
0.22304376,1
0.27978915,1
0.38162343,1
0.39796056,1
0.57890693,1
0.53533349,1
0.45888470,1
0.54546268,1
0.43130176,1
0.30112623,1
0.33710247,1
0.15757158,1
0.30456436,1
0.30538604,1
0.73805807,1
0.50635744,1
0.65457727,1
0.45072413,1
0.35187517,1
0.32849264,1
0.18887899,1
0.34895488,1
0.40156847,1
0.66610486,1
0.34251235,1
0.67798671,1
0.54218012,1
0.63270230,1
0.61554340,1
0.39377855,1
0.26904791,1
0.34658695,1
0.25708391,1
0.26499617,1
0.31012224,1
0.56566941,1
0.34924526,1
0.24003516,1
0.28518486,1
0.36841115,1
0.28983717,1
0.39281560,1
0.37368660,1
0.18980392,1
0.27467012,1
0.32115724,1
0.33548171,1
